Domain name,Domain type,Agency,Organization name,City,State,Security Contact Email
nwbc.gov,Federal - Executive,Small Business Administration,Small Business Administration,,, 
worldwar1centennial.gov,Federal - Executive,The United States World War One Centennial Commission,The United States World War One Centennial Commission,,, 
abilityone.gov,Federal - Executive,United States AbilityOne,Committee for Purchase From People Who Are Blind or Severely Disabled,,, 
access-board.gov,Federal - Executive,United States Access Board,U.S Access Board,,, 
adf.gov,Federal - Executive,United States African Development Foundation,African Development Foundation,,, 
globalchange.gov,Federal - Executive,United States Global Change Research Program,U.S. Global Change Research Program,,, 
feedthefuture.gov,Federal - Executive,U.S. Agency for International Development,Bureau for Resilience and Food Security (RFS),,, 
foreignassistance.gov,Federal - Executive,U.S. Agency for International Development,Foreign Assistance Office (F/PPS),,, 
neglecteddiseases.gov,Federal - Executive,U.S. Agency for International Development,Bureau for Global Health,,, 
pmi.gov,Federal - Executive,U.S. Agency for International Development,Bureau for Global Health,,, 
aff.gov,Federal - Executive,U.S. Department of Agriculture,Aviation Management Directorate,,, 
ag.gov,Federal - Executive,U.S. Department of Agriculture,U.S. Department of Agriculture,,, 
execsec.gov,Federal - Executive,U.S. Department of Agriculture,U.S. Department of Agriculture,,, 
farmers.gov,Federal - Executive,U.S. Department of Agriculture,"USDA, Office of Communications",,, 
forestsandrangelands.gov,Federal - Executive,U.S. Department of Agriculture,US Forest Service,,, 
nutrition.gov,Federal - Executive,U.S. Department of Agriculture,Office of Communications,,, 
nwcg.gov,Federal - Executive,U.S. Department of Agriculture,National Wildfire Coordinating Group,,, 
wildfire.gov,Federal - Executive,U.S. Department of Agriculture,National Wildfire Coordinating Group,,, 
nwtrb.gov,Federal - Executive,U.S. Nuclear Waste Technical Review Board,Nuclear Waste Technical Review Board,,, 
osc.gov,Federal - Executive,U.S. Office of Special Counsel,U.S. Office of Special Counsel,,, 
oscnet.gov,Federal - Executive,U.S. Office of Special Counsel,U.S. Office of Special Counsel,,, 
peacecorps.gov,Federal - Executive,U.S. Peace Corps,Peace Corps,,, 
exploretsp.gov,Federal - Executive,,Office of Technology Services,,, 
fpisc.gov,Federal - Executive,,Federal Permitting Improvement Steering Council,,, 
voa.gov,Federal - Executive,,VOA,,, 
bankruptcy.gov,Federal - Judicial,U.S. Courts,Administrative Office U.S. Courts,,, 
federalcourts.gov,Federal - Judicial,U.S. Courts,Administrative Office U.S. Courts,,, 
federalprobation.gov,Federal - Judicial,U.S. Courts,Administrative Office U.S. Courts,,, 
federalrules.gov,Federal - Judicial,U.S. Courts,Administrative Office U.S. Courts,,, 
fjc.gov,Federal - Judicial,U.S. Courts,Federal Judicial Center,,, 
pacer.gov,Federal - Judicial,U.S. Courts,Administrative Office U.S. Courts,,, 
visitthecapital.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,,, 
visitthecapitol.gov,Federal - Legislative,Architect of the Capitol,Architect of the Capitol,,, 
fasab.gov,Federal - Legislative,Government Accountability Office,FASAB,,, 
fdlp.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,,, 
fdsys.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,,, 
federalregister.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,,, 
fedreg.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,,, 
govinfo.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,,, 
gpodev.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,,, 
gpo.gov,Federal - Legislative,Government Publishing Office,Government Publishing Office,,, 
africanamericanhistorymonth.gov,Federal - Legislative,Library of Congress,Library of Congress,,, 
womenshistorymonth.gov,Federal - Legislative,Library of Congress,Library of Congress,,, 
gop.gov,Federal - Legislative,The Legislative Branch,House Republican Conference,,, 
gopleader.gov,Federal - Legislative,The Legislative Branch,Office of the House Republican Leader,,, 
gopwhip.gov,Federal - Legislative,The Legislative Branch,US House of Representatives,,, 
whdpc.gov,Federal - Legislative,Western Hemisphere Drug Policy Commission,Western Hemisphere Drug Policy Commission,,, 
ahidta.gov,Interstate,Non-Federal Agency,Appalachia HIDTA,,, 
alabamasoilandwater.gov,Interstate,Non-Federal Agency,Alabama Soil and Water Conservation Committee,,, 
flwg.gov,Interstate,Non-Federal Agency,"Civil Air Patrol, Florida Wing, Auxiliary Air Force ",,, 
fmdiversion.gov,Interstate,Non-Federal Agency,"State of ND, ITD",,, 
gulfcoastwaterauthoritytx.gov,Interstate,Non-Federal Agency,Gulf Coast Water Authority,,, 
nlc.gov,Interstate,Non-Federal Agency,Interstate Commission of Nurse LicensureCompact Administrators,,, 
pacificflyway.gov,Interstate,Non-Federal Agency,Pacific Flyway Council,,, 
panynj.gov,Interstate,Non-Federal Agency,The Port Authority of New York and New Jersey,,, 
wmataoig.gov,Interstate,Non-Federal Agency,"Inspector General, Washington Metropolitan Area Transit Authority",,, 
wmatc.gov,Interstate,Non-Federal Agency,Washington Metropolitan Area Transit Commission,,, 
wmsc.gov,Interstate,Non-Federal Agency,Washington Metrorail Safety Commission,,, 
baaqmd.gov,Special district,Non-Federal Agency,Bay Area Air Quality Management District,,, 
njmeadowlands.gov,Special district,Non-Federal Agency,New Jersey Sports and Exposition Authority,,, 
nwfdaz.gov,Special district,Non-Federal Agency,Northwest Fire District,,, 
otaywater.gov,Special district,Non-Federal Agency,Otay Water District,,, 
511wi.gov,State or territory,Non-Federal Agency,Wisconsin Department of Transportation,,, 
abletn.gov,State or territory,Non-Federal Agency,Office for Information Resources,,, 
adrcnj.gov,State or territory,Non-Federal Agency," NJ Department of Human Services, DoAS",,, 
agutah.gov,State or territory,Non-Federal Agency,Utah Attorney General's Office,,, 
akaerospace.gov,State or territory,Non-Federal Agency,Alaska Aerospace Development Corporation,,, 
akcourts.gov,State or territory,Non-Federal Agency,State of Alaska Court System,,, 
ak.gov,State or territory,Non-Federal Agency,State of Alaska,,, 
akleg.gov,State or territory,Non-Federal Agency,Alaska Legislature,,, 
alabamaable.gov,State or territory,Non-Federal Agency,Alabama ABLE Savings Plan,,, 
alabamaageline.gov,State or territory,Non-Federal Agency,Alabama Department of Senior Services,,, 
alabamaag.gov,State or territory,Non-Federal Agency,Alabama Office of the Attorney General,,, 
alabamabuys.gov,State or territory,Non-Federal Agency,Purchasing Division of the Department of Finance,,, 
alabamada.gov,State or territory,Non-Federal Agency,Alabama District Attorneys Association,,, 
alabamadementia.gov,State or territory,Non-Federal Agency,Alabama Department of Senior Services,,, 
alabama.gov,State or territory,Non-Federal Agency,State of Alabama,,, 
alabamahousephotos.gov,State or territory,Non-Federal Agency,Alabama Legislature,,, 
alabamaombudsman.gov,State or territory,Non-Federal Agency,Alabama Department of Senior Services,,, 
alabamapublichealth.gov,State or territory,Non-Federal Agency,Alabama Department of Public Health,,, 
alabamavotes.gov,State or territory,Non-Federal Agency,Alabama Secretary of State,,, 
alabcboard.gov,State or territory,Non-Federal Agency,Alabama Alcoholic Beverage Control Board,,, 
alabc.gov,State or territory,Non-Federal Agency,Alabama Alcoholic Beverage Control Board,,, 
alabpp.gov,State or territory,Non-Federal Agency,Alabama Pardons and Paroles,,, 
alacop.gov,State or territory,Non-Federal Agency,Alabama Law Enforcement Agency,,, 
alacourt.gov,State or territory,Non-Federal Agency,Unified Judicial System - State of Alabama,,, 
alada.gov,State or territory,Non-Federal Agency,Administrative Office of Courts,,, 
aladna.gov,State or territory,Non-Federal Agency,AOC,,, 
alappeals.gov,State or territory,Non-Federal Agency,State of Alabama Supreme Court,,, 
alasafe.gov,State or territory,Non-Federal Agency,Alabama Law Enforcement Agency,,, 
alaskacare.gov,State or territory,Non-Federal Agency,State of Alaska - Division of Retirement & Benefits,,, 
alaska.gov,State or territory,Non-Federal Agency,State of Alaska,,, 
albme.gov,State or territory,Non-Federal Agency,Alabama Board of Medical Examiners,,, 
alconservationdistricts.gov,State or territory,Non-Federal Agency,Alabama Soil & Water Conservation Committee,,, 
alcovidvaccine.gov,State or territory,Non-Federal Agency,Alabama Department of Public Health,,, 
aldoi.gov,State or territory,Non-Federal Agency,Alabama Department of Insurance,,, 
alea.gov,State or territory,Non-Federal Agency,Alabama Law Enforcement Agency,,, 
al.gov,State or territory,Non-Federal Agency,State of Alabama,,, 
alhouse.gov,State or territory,Non-Federal Agency,State of Alabama - Legislative Computer Center,,, 
al-legislature.gov,State or territory,Non-Federal Agency,State of Alabama,,, 
alsenate.gov,State or territory,Non-Federal Agency,State of Alabama - Legislative Computer Center ,,, 
az511.gov,State or territory,Non-Federal Agency,Arizona Department of Transportation,,, 
az529.gov,State or territory,Non-Federal Agency,Office of the Arizona State Treasurer,,, 
az911.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",,, 
azabrc.gov,State or territory,Non-Federal Agency,Arizona Biomedical Research Commission,,, 
azaccountancy.gov,State or territory,Non-Federal Agency,AZ State Board of Accountancy,,, 
azactic.gov,State or territory,Non-Federal Agency,Arizona Department of Public Safety,,, 
azadc.gov,State or territory,Non-Federal Agency,Arizona Department of Corrections,,, 
azag.gov,State or territory,Non-Federal Agency,Arizona Attorney General,,, 
azahcccs.gov,State or territory,Non-Federal Agency,Arizona Health Care Cost Containment System,,, 
az-apep.gov,State or territory,Non-Federal Agency,AHCCCS,,, 
azarts.gov,State or territory,Non-Federal Agency,Arizona Commission on the Arts,,, 
azasrs.gov,State or territory,Non-Federal Agency,Arizona State Retirement System,,, 
azauditor.gov,State or territory,Non-Federal Agency,"State of Arizona, Office of the Auditor General",,, 
azbn.gov,State or territory,Non-Federal Agency,Arizona State Board of Nursing,,, 
azbnp.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,,, 
azboc.gov,State or territory,Non-Federal Agency,State of Arizona,,, 
azboxingandmma.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",,, 
azbtr.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",,, 
azcancercontrol.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,,, 
azcc.gov,State or territory,Non-Federal Agency,Arizona Corporation Commission,,, 
azcjc.gov,State or territory,Non-Federal Agency,Arizona Criminal Justice Commission,,, 
azcleanelections.gov,State or territory,Non-Federal Agency,Citizens Clean Elections Commission,,, 
azcoop.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",,, 
azcorrections.gov,State or territory,Non-Federal Agency,Arizona Department of Corrections,,, 
azcourtdocs.gov,State or territory,Non-Federal Agency,Arizona Supreme Court,,, 
azcourts.gov,State or territory,Non-Federal Agency,Arizona Supreme Court,,, 
azcvd.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,,, 
azdaars.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,,, 
azda.gov,State or territory,Non-Federal Agency,Arizona Department of Agriculture,,, 
azdc.gov,State or territory,Non-Federal Agency,Arizona Department of Corrections ,,, 
azdcs.gov,State or territory,Non-Federal Agency,Arizona Department of Child Safety,,, 
azddpc.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,,, 
azdema.gov,State or territory,Non-Federal Agency,Arizona Department of Emergency and Military Affairs,,, 
azdeq.gov,State or territory,Non-Federal Agency,Arizona Dept of Environmental Quality,,, 
azdes.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,,, 
azdfi.gov,State or territory,Non-Federal Agency,Arizona Department of Financial Institutions,,, 
azdhs.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,,, 
azdiabetes.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,,, 
azdjc.gov,State or territory,Non-Federal Agency,Arizona Department of Juvenile Corrections,,, 
azdoa.gov,State or territory,Non-Federal Agency,State of Arizona,,, 
azdoc.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Corrections",,, 
azdo.gov,State or territory,Non-Federal Agency,Arizona Board of Osteopathic Examiners in Medicine and Surgery,,, 
azdohs.gov,State or territory,Non-Federal Agency,Department of Homeland Security,,, 
azdor.gov,State or territory,Non-Federal Agency,Arizona Department of Revenue,,, 
azdosh.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",,, 
azdot.gov,State or territory,Non-Federal Agency,Arizona Department of Transportation,,, 
azdpsapps.gov,State or territory,Non-Federal Agency,State of Arizona,,, 
azdps.gov,State or territory,Non-Federal Agency,Arizona Department of Public Safety,,, 
azdvs.gov,State or territory,Non-Federal Agency,Arizona Department of Veterans' Services,,, 
azed.gov,State or territory,Non-Federal Agency,Arizona Department of Education,,, 
azein.gov,State or territory,Non-Federal Agency,Arizona Division of Emergency Management,,, 
azenvirokids.gov,State or territory,Non-Federal Agency,Arizona Dept of Environmental Quality,,, 
azepip.gov,State or territory,Non-Federal Agency,Arizona Health Care Cost Containment System,,, 
azftf.gov,State or territory,Non-Federal Agency,AZ Early Childhood Development and Health Board,,, 
azgaming.gov,State or territory,Non-Federal Agency,Arizona Department of Gaming,,, 
azgfd.gov,State or territory,Non-Federal Agency,Arizona Game and Fish Department,,, 
azgohs.gov,State or territory,Non-Federal Agency,Governor's Office of Highway Safety,,, 
az.gov,State or territory,Non-Federal Agency,State of Arizona,,, 
azgovernor.gov,State or territory,Non-Federal Agency,Governor's Office,,, 
azhealth.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,,, 
azhighered.gov,State or territory,Non-Federal Agency,Arizona Commission for Postsecondary Education,,, 
azhouse.gov,State or territory,Non-Federal Agency,Arizona House of Representatives,,, 
azhousing.gov,State or territory,Non-Federal Agency,Arizona Dept of Housing,,, 
azhs.gov,State or territory,Non-Federal Agency,Arizona Historical Society Museum,,, 
azica.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",,, 
azinsurance.gov,State or territory,Non-Federal Agency,Arizona Department of Insurance and Financial Institutions,,, 
azinvestor.gov,State or territory,Non-Federal Agency,Arizona Corporation Commission,,, 
azjlbc.gov,State or territory,Non-Federal Agency,Arizona Legislative Council,,, 
azjobconnection.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,,, 
azjuved.gov,State or territory,Non-Federal Agency,Arizona Department of Juvenile Corrections,,, 
azkidsneedu.gov,State or territory,Non-Federal Agency,Arizona Department of Child Safety,,, 
azland.gov,State or territory,Non-Federal Agency,State of Arizona,,, 
azleg.gov,State or territory,Non-Federal Agency,Arizona Legislative Council - Computer Services Division,,, 
azlibrary.gov,State or territory,Non-Federal Agency,"Arizona State Library, Arhives and Public Records",,, 
azlinks.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,,, 
azliquor.gov,State or territory,Non-Federal Agency,Arizona Department of Liquor Licenses and Control,,, 
azlottery.gov,State or territory,Non-Federal Agency,Arizona Lottery,,, 
azmag.gov,State or territory,Non-Federal Agency,Maricopa Association of Governments,,, 
azmd.gov,State or territory,Non-Federal Agency,Arizona Medical Board,,, 
azminorityhealth.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,,, 
azmvdnow.gov,State or territory,Non-Federal Agency,ADOT,,, 
aznet.gov,State or territory,Non-Federal Agency,State of Arizona,,, 
azoca.gov,State or territory,Non-Federal Agency,Arizona Ombudsman - Citizens' Aide,,, 
azospb.gov,State or territory,Non-Federal Agency,State of Arizona Governor's Office of Strategic Planning and Budgeting,,, 
azot.gov,State or territory,Non-Federal Agency,Arizona Office of Tourism,,, 
azpa.gov,State or territory,Non-Federal Agency,Arizona Regulatory Board of Physician Assistants,,, 
azparks.gov,State or territory,Non-Federal Agency,Arizona State Parks Board,,, 
azpharmacy.gov,State or territory,Non-Federal Agency,Arizona State Board of Pharmacy,,, 
azpost.gov,State or territory,Non-Federal Agency,Arizona Peace Officer Standards and Training Board,,, 
azppse.gov,State or territory,Non-Federal Agency,State of Arizona,,, 
azrecycles.gov,State or territory,Non-Federal Agency,Arizona Department of Environmental Quality Recycling,,, 
azre.gov,State or territory,Non-Federal Agency,Arizona Department of Real Estate,,, 
azroc.gov,State or territory,Non-Federal Agency,AZ ROC,,, 
azrra.gov,State or territory,Non-Federal Agency,AZ Radiation Regulatory Agency,,, 
azruco.gov,State or territory,Non-Federal Agency,Arizona Residential Utility Consumer Office,,, 
azsal.gov,State or territory,Non-Federal Agency,Arizona Department of Agricluture,,, 
azsenate.gov,State or territory,Non-Federal Agency,Arizona Senate,,, 
azsfb.gov,State or territory,Non-Federal Agency,Arizona School Facilities Board,,, 
azshare.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,,, 
azsos.gov,State or territory,Non-Federal Agency,Arizona Secretary of State,,, 
azstatejobs.gov,State or territory,Non-Federal Agency,State of Arizona,,, 
azstateparks.gov,State or territory,Non-Federal Agency,Arizona State Parks Board,,, 
aztaxes.gov,State or territory,Non-Federal Agency,Arizona Department of Revenue,,, 
aztransportationboard.gov,State or territory,Non-Federal Agency,Arizona Department of Transportation,,, 
aztreasurer.gov,State or territory,Non-Federal Agency,Arizona State Treasurer's Office,,, 
aztreasury.gov,State or territory,Non-Federal Agency,Arizona State Treasury,,, 
azui.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,,, 
azuitax.gov,State or territory,Non-Federal Agency,Arizona Department of Economic Security,,, 
azwaterbank.gov,State or territory,Non-Federal Agency,Arizona Water Banking Authority,,, 
azwater.gov,State or territory,Non-Federal Agency,Arizona Department of Water Resources,,, 
azwic.gov,State or territory,Non-Federal Agency,Arizona Department of Health Services,,, 
azwifa.gov,State or territory,Non-Federal Agency,Water Infrastructure Finance Authority,,, 
azwpf.gov,State or territory,Non-Federal Agency,Arizona Water Protection Fund,,, 
b4wv.gov,State or territory,Non-Federal Agency,WV Office of Technology,,, 
esmi.gov,State or territory,Non-Federal Agency,State of Michigan,,, 
ewyoming.gov,State or territory,Non-Federal Agency,State of Wyoming,,, 
fdacs.gov,State or territory,Non-Federal Agency,Florida Department of Agriculture and Consumer Services,,, 
fdot.gov,State or territory,Non-Federal Agency,FL Dept of Transportation,,, 
filelocal-wa.gov,State or territory,Non-Federal Agency,FileLocal,,, 
firstnetme.gov,State or territory,Non-Federal Agency,State of Maine,,, 
firstthingsfirstaz.gov,State or territory,Non-Federal Agency,"State of Arizona, Department of Administration",,, 
fishohio.gov,State or territory,Non-Federal Agency,State of Ohio,,, 
flauditor.gov,State or territory,Non-Federal Agency,Auditor General - State of Florida,,, 
flboardofmedicine.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
flcourts1.gov,State or territory,Non-Federal Agency,First Judicial Circuit,,, 
fldjj.gov,State or territory,Non-Federal Agency,Department Of Juvenile Justice,,, 
fldoi.gov,State or territory,Non-Federal Agency,Florida Department of Financial Services,,, 
fl.gov,State or territory,Non-Federal Agency,State of Florida / Dept. of management Services,,, 
flhealthcomplaint.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
flhealthcovid19.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
flhealth.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
flhealthsource.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
flhistoriccapitol.gov,State or territory,Non-Federal Agency,The Florida Legislature,,, 
flhouse.gov,State or territory,Non-Federal Agency,Florida House of Representatives,,, 
flhsmv.gov,State or territory,Non-Federal Agency,Florida Department of Highway Safety and Motor Vehicles,,, 
flleg.gov,State or territory,Non-Federal Agency,FL Legislature - OLITS,,, 
fllegislativemailings.gov,State or territory,Non-Federal Agency,The Florida Legislature,,, 
flofr.gov,State or territory,Non-Federal Agency,Florida Department of Financial Services,,, 
floir.gov,State or territory,Non-Federal Agency,Florida Department of Financial Services,,, 
flopenwallet.gov,State or territory,Non-Federal Agency,Florida Department of Financial Services,,, 
floridaabusehotline.gov,State or territory,Non-Federal Agency,Florida Department of Children & Families,,, 
floridacrashportal.gov,State or territory,Non-Federal Agency,Florida Department of Highway Safety and Motor Vehicles,,, 
floridadep.gov,State or territory,Non-Federal Agency,Department of Environmental Protection,,, 
floridados.gov,State or territory,Non-Federal Agency,Florida Department of State,,, 
floridaelectionwatch.gov,State or territory,Non-Federal Agency,Florida Department of State,,, 
floridafx.gov,State or territory,Non-Federal Agency,Agency for Health Care Administration,,, 
floridagio.gov,State or territory,Non-Federal Agency,FL Department of Environmental Protection,,, 
florida.gov,State or territory,Non-Federal Agency,State of Florida / Dept. of Management Services,,, 
floridahealthcareconnections.gov,State or territory,Non-Federal Agency,Agency for Health Care Administration,,, 
floridahealthcovid19.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridahealthfinder.gov,State or territory,Non-Federal Agency,Agency for Health Care Administration,,, 
floridahealth.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridahousemedia.gov,State or territory,Non-Federal Agency,The Florida House of Representatives,,, 
floridalobbyist.gov,State or territory,Non-Federal Agency,Office of Legislative Information Technology Services,,, 
floridaopc.gov,State or territory,Non-Federal Agency,Office Of Public Counsel,,, 
floridapace.gov,State or territory,Non-Federal Agency,Florida PACE Funding Agency,,, 
floridaredistricting.gov,State or territory,Non-Federal Agency,Florida House of Representatives,,, 
floridasacupuncture.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasathletictraining.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridaschiropracticmedicine.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasclinicallabs.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasdentistry.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasenate.gov,State or territory,Non-Federal Agency,The Florida Senate,,, 
floridashealth.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridashearingaidspecialists.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasmassagetherapy.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasmentalhealthprofessions.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasnursing.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasnursinghomeadmin.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasoccupationaltherapy.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasopticianry.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasoptometry.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasorthotistsprosthetists.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasosteopathicmedicine.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridaspharmacy.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasphysicaltherapy.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridaspodiatricmedicine.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridaspsychology.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasrespiratorycare.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasspeechaudiology.gov,State or territory,Non-Federal Agency,Florida Department of Health,,, 
floridasunshine.gov,State or territory,Non-Federal Agency,Florida Governor's Office,,, 
floridatreasurehunt.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,,, 
floridaunclaimedfunds.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,,, 
floridaunclaimedproperty.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,,, 
flsa6.gov,State or territory,Non-Federal Agency,"State Attorney's Office, Sixth Judicial Circuit",,, 
flsenate.gov,State or territory,Non-Federal Agency,The Florida Senate,,, 
flsunshine.gov,State or territory,Non-Federal Agency,Florida Governor's Office,,, 
fltreasurehunt.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,,, 
flunclaimedfunds.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,,, 
flunclaimedproperty.gov,State or territory,Non-Federal Agency,FL Dept of Financial Services,,, 
foia-dc.gov,State or territory,Non-Federal Agency,Executive Office of the Mayor ,,, 
foiaxpress-dc.gov,State or territory,Non-Federal Agency,Executive Office of the Mayor ,,, 
fortlauderdale.gov,State or territory,Non-Federal Agency,City of Ft. Lauderdale,,, 
frames.gov,State or territory,Non-Federal Agency,University of Idaho,,, 
govotecolorado.gov,State or territory,Non-Federal Agency,Colorado Department of State,,, 
govotetn.gov,State or territory,Non-Federal Agency,State of Tennessee,,, 
greatiowatreasurehunt.gov,State or territory,Non-Federal Agency,Office of the Chief Information Officer,,, 
grownjkids.gov,State or territory,Non-Federal Agency,Department of Human Services Division of Family Development,,, 
guamcourts.gov,State or territory,Non-Federal Agency,Judiciary of Guam,,, 
guam.gov,State or territory,Non-Federal Agency,"Office of Technology, Government of Guam",,, 
ndhan.gov,State or territory,Non-Federal Agency,"State of ND, Information Technology Department",,, 
ndhealth.gov,State or territory,Non-Federal Agency,"State of ND, Information Technology Department",,, 
ndresponse.gov,State or territory,Non-Federal Agency,"State of North Dakota, ITD",,, 
ndstudies.gov,State or territory,Non-Federal Agency,"State of ND, ITD",,, 
nebraskacorn.gov,State or territory,Non-Federal Agency,Office of the CIO,,, 
nebraska.gov,State or territory,Non-Federal Agency,Office of the CIO,,, 
nebraskalegislature.gov,State or territory,Non-Federal Agency,State of Nebraska,,, 
nebraskalostcash.gov,State or territory,Non-Federal Agency,OCIO,,, 
nebraskamap.gov,State or territory,Non-Federal Agency,State of Nebraska,,, 
nebraskaresearch.gov,State or territory,Non-Federal Agency,University of Nebraska,,, 
nebraskaspending.gov,State or territory,Non-Federal Agency,OCIO,,, 
nebraskaunicameral.gov,State or territory,Non-Federal Agency,State of Nebraska,,, 
ne.gov,State or territory,Non-Federal Agency,State of Nebraska,,, 
networkmaryland.gov,State or territory,Non-Federal Agency,Maryland Dept. of Information Technology,,, 
networknebraska.gov,State or territory,Non-Federal Agency,Office of the CIO,,, 
nevada.gov,State or territory,Non-Federal Agency,"State of Nevada, Department of Information Technology",,, 
nevadatreasurer.gov,State or territory,Non-Federal Agency,Nevada State Treasurer,,, 
nevadaunclaimedproperty.gov,State or territory,Non-Federal Agency,Nevada Enterprise IT,,, 
newengland511.gov,State or territory,Non-Federal Agency,State of Vermont,,, 
newhampshire.gov,State or territory,Non-Federal Agency,State of New Hampshire,,, 
newjerseybusiness.gov,State or territory,Non-Federal Agency,Office of Information Technology,,, 
newjersey.gov,State or territory,Non-Federal Agency,State of New Jersey,,, 
newjerseyhomekeeper.gov,State or territory,Non-Federal Agency,New Jersey Housing and Mortgage Finance,,, 
newmexico.gov,State or territory,Non-Federal Agency,Dept. of Information Technology,,, 
newyorkhealth.gov,State or territory,Non-Federal Agency,New York State Department of Health,,, 
ngla.gov,State or territory,Non-Federal Agency,Louisiana Military Department,,, 
nh.gov,State or territory,Non-Federal Agency,State of New Hampshire,,, 
njcares.gov,State or territory,Non-Federal Agency,"Department of Law and Public Safety, Office of the Attorney General",,, 
njccc.gov,State or territory,Non-Federal Agency,NJ Casino Control Commission,,, 
njchildsupport.gov,State or territory,Non-Federal Agency,Department of Human Services Division of Family Development,,, 
njcivilrights.gov,State or territory,Non-Federal Agency,"State of NJ, Dept. of Law and Public Safety, Office of the Attorney General",,, 
njconsumeraffairs.gov,State or territory,Non-Federal Agency,"State of New Jersey, Dept. of Law & Pub. Safety, Office of the Attorney General",,, 
njcourts.gov,State or territory,Non-Federal Agency,NJ Judiciary,,, 
njdoc.gov,State or territory,Non-Federal Agency,New Jersey Department of Corrections,,, 
nj.gov,State or territory,Non-Federal Agency,State of New Jersey,,, 
njgunstat.gov,State or territory,Non-Federal Agency,"NJ Law and Public Safety, Office of the Attorney General",,, 
njhelps.gov,State or territory,Non-Federal Agency,Department of Human Services Division of Family Development,,, 
njhmfa.gov,State or territory,Non-Federal Agency,New Jersey Housing and Mortgage Finance Agency (NJHMFA),,, 
njhomekeeper.gov,State or territory,Non-Federal Agency,New Jersey Housing and Mortgage Finance Agency,,, 
njhomelandsecurity.gov,State or territory,Non-Federal Agency,New Jersey Office of Homeland Security and Preparedness,,, 
